priority,name,scope,contracts,website,status,verdict,reason
125,GS Social Care Solutions Limited,Local,1,http://www.gs-socialcare.co.uk/,pending,,
126,Gain Healthcare Ltd,Local,1,http://gainhealthcare.co.uk/,pending,,
127,Godfrey Barnes Care Ltd,Local,1,https://godfreycare.co.uk/,pending,,
128,Godfrey Barnes Healthcare LLP,Local,1,https://godfreycare.co.uk/,pending,,
129,Good 2 Go Care Services Limited,Local,1,https://gocareservices.com/,pending,,
130,Grange (Whitefield) Care Services,Local,1,http://grangewhitefieldcare.com/,pending,,
131,Gray Healthcare Limited (CQC Registered Non Enhanced and Enhance,Local,1,https://www.graycaregroup.co.uk/,pending,,
132,Greenbrook Healthcare,Local,1,https://www.togetherhousing.co.uk/find-a-home/extra-care/lancashire/greenbrook-house/,pending,,
133,Habod Care Ltd,Local,1,http://habodcare.org/,pending,,
134,Hatzfeld Care Ltd,Local,1,https://www.hatzfeld.co.uk/,pending,,
135,Honeydew Healthcare Limited,Local,1,http://www.honeydewhealthcare.co.uk/,pending,,
136,Hosanna Social Care Services,Local,1,http://hosannacare.com/,pending,,
137,I-care solutions stockport,Local,1,https://icarestockport.org/,pending,,
138,Illuminate Care Group Limited,Local,1,http://illuminategroup.co.uk/,pending,,
139,Inclusion Care Ltd (Rehability UK community),Local,1,https://rehabilityuk.co.uk/,pending,,
140,Kenley Health Care Ltd,Local,1,http://www.careycare.co.uk/,pending,,
141,Key2care t/a Derbyshire Care Services (CQC Registered Non Enhanc,Local,1,https://key2care.co.uk/,pending,,
142,Kezi and Clay Healthcare,Local,1,http://keziandclay.co.uk/,pending,,
143,Kilter Care Ltd,Local,1,https://www.kiltercare.co.uk/contact-kilter-care-now,pending,,
144,Kitec Healthcare Services Limited,Local,1,http://kitechealthcare.co.uk/,pending,,
145,Living Waters Healthcare Services Limited,Local,1,http://livingwatershealthcare.co.uk/,pending,,
146,Lundi Education and Care Services Ltd,Local,1,https://www.hellolundi.com/location/united-kingdom,pending,,
147,Marbury Healthcare Ltd - Procurement,Local,1,http://www.marrprocurement.com/,pending,,
148,Mayfair Community Care Ltd,Local,1,http://www.mayfaircare.org.uk/,pending,,
149,Mere Lodge Healthcare Ltd t/a Mere and Spinney,Local,1,http://www.merelodge.co.uk/,pending,,
150,Midshires Healthcare Ltd,Local,1,https://www.midshires.org/,pending,,
151,Midway Care Group (Pharos Support Limited),Local,1,https://www.midwaycaregroup.co.uk/,pending,,
152,Midway Care Group (Pharos),Local,1,https://www.midwaycaregroup.co.uk/About-Midway-Care-Group/,pending,,
153,Moore Care Ltd,Local,1,https://www.moorevets.co.uk/,pending,,
154,More Energy Care Services Ltd,Local,1,https://mecsltd.co.uk/,pending,,
155,My Health Care Support Ltd,Local,1,https://myhealthcaresupport.co.uk/,pending,,
156,New Hope Care Ltd,Local,1,https://www.newhopecareltd.co.uk/,pending,,
157,National Healthcare Solutions Ltd,Local,1,https://www.nationalhomes.org.uk/,pending,,
158,One Step Care Limited,Local,1,http://www.onestepcare.co.uk/,pending,,
159,Orion Care Solutions Limited,Local,1,https://www.orionhealthcare.co.uk/,pending,,
160,Osei Minkah Care Ltd.,Local,1,https://www.oseiminkahcare.com/,pending,,
161,Outsets Care Services,Local,1,http://www.outsetfostering.co.uk/,pending,,
162,Pathfinder Care Services,Local,1,https://www.pathfinderscareservices.org/,pending,,
163,PJL Healthcare Limited,Local,1,http://www.pjlhealthcare.co.uk/,pending,,
164,Pharos Support Limited (Midway Care Group),Local,1,https://www.midwaycaregroup.co.uk/,pending,,
165,Prayngel Healthcare Limited,Local,1,http://www.prayngel.co.uk/,pending,,
166,Precise Care Solutions Limited,Local,1,https://precisecare.uk/,pending,,
167,Prometheus Complex Care Ltd,Local,1,http://pcare.co.uk/,pending,,
168,Quality 24 Care Limited,Local,1,https://qualitycareltd.com/,pending,,
169,Right to Care Ltd,Local,1,http://www.righttocare.co.uk/,pending,,
170,Rose of Sharon Care Services Ltd,Local,1,https://birmingham.connecttosupport.org/search/marketplace-search/?productId=5e14a2ce-591b-4d22-989a-a89300ad7e2c&supplierId=62e27721-68fb-4272-8a72-a89300a7b818&bcgId=fcea1611-2a26-4a1d-a4a6-b480f7423e14,pending,,
171,Rushcliffe Care Limited - Epinal Way Care,Local,1,https://www.rushcliffecare.co.uk/,pending,,
172,Swot Care Ltd,Local,1,http://swotcareltd.com/,pending,,
173,Sageville Health Care,Local,1,http://www.sagevillehealthcare.com/,pending,,
174,Salvero Healthcare T/A Acacia Lodge,Local,1,https://www.averyhealthcare.co.uk/care-homes/manchester-greater/moston/acacia-lodge/,pending,,
175,Sandant Care Limited,Local,1,http://www.sandantcare.co.uk/,pending,,
176,Scope Care Ltd,Local,1,http://scopecareservices.co.uk/,pending,,
177,Selbourne Care Ltd (Care tech),Local,1,https://www.caretech-uk.com/what-we-do/selborne-care/,pending,,
178,Shaw Healthcare (Group) Ltd,Local,1,http://www.shaw.co.uk/,pending,,
179,Sisters Care Services Limited,Local,1,http://www.sisterscareservices.co.uk/,pending,,
180,Smile Foster Care Limited T/A Smile Care Services,Local,1,http://smileycareservices.com/,pending,,
181,Social & Community Care Ltd,Local,1,https://www.communitycare.co.uk/,pending,,
182,Social Care Services Group,Local,1,http://thesocialcare.uk/,pending,,
183,Special Needs Care Limited,Local,1,https://www.specialneedscare.co.uk/,pending,,
